timestamp,open,high,low,close,volume,symbol,exchange_name
2023-05-07 00:00:00+00:00,1896.78,1933.51,1868.12,1870.2,7417.4107,ETH/USDT,binanceus
2023-05-08 00:00:00+00:00,1869.53,1884.16,1810.0,1847.12,13856.4592,ETH/USDT,binanceus
2023-05-09 00:00:00+00:00,1847.51,1861.15,1830.97,1846.95,2714.609,ETH/USDT,binanceus
2023-05-10 00:00:00+00:00,1846.95,1887.19,1793.25,1840.0,2860.3471,ETH/USDT,binanceus
2023-05-11 00:00:00+00:00,1841.19,1841.7,1772.69,1794.21,1966.2236,ETH/USDT,binanceus
2023-05-12 00:00:00+00:00,1794.68,1816.0,1739.7,1807.73,3232.3401,ETH/USDT,binanceus
2023-05-13 00:00:00+00:00,1807.73,1815.94,1786.21,1795.19,1403.007,ETH/USDT,binanceus
2023-05-14 00:00:00+00:00,1794.76,1823.86,1790.58,1799.78,1587.0183,ETH/USDT,binanceus
2023-05-15 00:00:00+00:00,1798.77,1846.8,1785.0,1815.99,2890.8776,ETH/USDT,binanceus
2023-05-16 00:00:00+00:00,1815.85,1831.93,1796.7,1823.55,2614.2016,ETH/USDT,binanceus
2023-05-17 00:00:00+00:00,1824.49,1836.94,1784.26,1821.69,3200.0384,ETH/USDT,binanceus
2023-05-18 00:00:00+00:00,1822.25,1831.67,1771.53,1800.44,2969.4019,ETH/USDT,binanceus
2023-05-19 00:00:00+00:00,1800.78,1829.32,1796.98,1812.37,1896.0944,ETH/USDT,binanceus
2023-05-20 00:00:00+00:00,1812.58,1828.57,1806.7,1819.47,662.3336,ETH/USDT,binanceus
2023-05-21 00:00:00+00:00,1819.53,1828.94,1797.55,1804.57,1649.1955,ETH/USDT,binanceus
2023-05-22 00:00:00+00:00,1805.13,1828.32,1792.0,1817.31,4649.4093,ETH/USDT,binanceus
2023-05-23 00:00:00+00:00,1817.06,1871.76,1815.36,1853.95,7587.2003,ETH/USDT,binanceus
2023-05-24 00:00:00+00:00,1853.94,1853.94,1777.26,1799.98,8556.2601,ETH/USDT,binanceus
2023-05-25 00:00:00+00:00,1799.65,1818.48,1761.94,1805.47,5614.5997,ETH/USDT,binanceus
2023-05-26 00:00:00+00:00,1805.9,1838.22,1796.87,1827.93,3914.8557,ETH/USDT,binanceus
2023-05-27 00:00:00+00:00,1827.85,1836.24,1812.14,1829.67,1936.5674,ETH/USDT,binanceus
2023-05-28 00:00:00+00:00,1830.33,1917.59,1823.41,1908.43,5174.4541,ETH/USDT,binanceus
2023-05-29 00:00:00+00:00,1908.64,1927.84,1874.01,1892.4,6122.4785,ETH/USDT,binanceus
2023-05-30 00:00:00+00:00,1892.7,1916.96,1881.15,1900.5,5839.3536,ETH/USDT,binanceus
2023-05-31 00:00:00+00:00,1900.94,1907.27,1846.85,1873.45,7804.8043,ETH/USDT,binanceus
2023-06-01 00:00:00+00:00,1873.84,1888.62,1839.97,1861.82,7728.898,ETH/USDT,binanceus
2023-06-02 00:00:00+00:00,1860.92,1910.33,1847.99,1906.44,7386.053,ETH/USDT,binanceus
2023-06-03 00:00:00+00:00,1906.44,1908.34,1881.63,1891.74,2889.5551,ETH/USDT,binanceus
2023-06-04 00:00:00+00:00,1892.1,1914.07,1884.19,1890.16,3431.661,ETH/USDT,binanceus
2023-06-05 00:00:00+00:00,1890.08,1891.11,1778.37,1810.45,10621.7002,ETH/USDT,binanceus
2023-06-06 00:00:00+00:00,1809.7,1897.79,1797.53,1884.28,8168.8358,ETH/USDT,binanceus
2023-06-07 00:00:00+00:00,1884.53,1896.05,1820.13,1823.9,3100.0924,ETH/USDT,binanceus
2023-06-08 00:00:00+00:00,1823.76,1859.31,1816.84,1846.36,1214.8604,ETH/USDT,binanceus
2023-06-09 00:00:00+00:00,1844.63,1854.31,1815.97,1838.5,1904.0617,ETH/USDT,binanceus
2023-06-10 00:00:00+00:00,1838.78,1843.66,1717.83,1752.49,2557.5909,ETH/USDT,binanceus
2023-06-11 00:00:00+00:00,1752.13,1776.22,1740.01,1747.55,973.0801,ETH/USDT,binanceus
2023-06-12 00:00:00+00:00,1747.6,1757.44,1720.51,1741.56,1307.8959,ETH/USDT,binanceus
2023-06-13 00:00:00+00:00,1741.54,1761.39,1720.25,1739.62,1043.1181,ETH/USDT,binanceus
2023-06-14 00:00:00+00:00,1739.49,1749.86,1641.01,1650.79,1316.3617,ETH/USDT,binanceus
2023-06-15 00:00:00+00:00,1652.37,1680.63,1628.73,1666.43,1163.5387,ETH/USDT,binanceus
2023-06-16 00:00:00+00:00,1667.4,1728.82,1650.78,1718.49,963.2756,ETH/USDT,binanceus
2023-06-17 00:00:00+00:00,1718.47,1760.54,1713.46,1728.81,585.3697,ETH/USDT,binanceus
2023-06-18 00:00:00+00:00,1727.5,1746.58,1715.11,1719.56,361.3811,ETH/USDT,binanceus
2023-06-19 00:00:00+00:00,1720.01,1744.48,1702.96,1737.37,501.6282,ETH/USDT,binanceus
2023-06-20 00:00:00+00:00,1737.34,1794.61,1715.2,1790.29,1254.9526,ETH/USDT,binanceus
2023-06-21 00:00:00+00:00,1789.93,1900.0,1787.0,1890.57,1959.8618,ETH/USDT,binanceus
2023-06-22 00:00:00+00:00,1888.59,1931.99,1866.73,1870.38,1492.3402,ETH/USDT,binanceus
2023-06-23 00:00:00+00:00,1870.4,1932.97,1863.28,1890.88,1335.151,ETH/USDT,binanceus
2023-06-24 00:00:00+00:00,1892.58,1904.58,1865.0,1877.26,583.5484,ETH/USDT,binanceus
2023-06-25 00:00:00+00:00,1877.32,1926.92,1870.0,1899.36,846.6386,ETH/USDT,binanceus
2023-06-26 00:00:00+00:00,1900.49,1910.16,1838.24,1858.55,1003.7406,ETH/USDT,binanceus
2023-06-27 00:00:00+00:00,1860.02,1912.62,1854.77,1889.8,865.8381,ETH/USDT,binanceus
2023-06-28 00:00:00+00:00,1890.0,1890.0,1825.19,1827.06,782.6437,ETH/USDT,binanceus
2023-06-29 00:00:00+00:00,1829.24,1879.35,1827.1,1853.06,761.2566,ETH/USDT,binanceus
2023-06-30 00:00:00+00:00,1852.96,1946.95,1839.12,1934.36,1755.9816,ETH/USDT,binanceus
